pr_number,pr_date,pr_type,company_code,plant,purchasing_group,created_by,item_number,material_group,quantity,unit,net_price,currency,delivery_date,gl_account,cost_center,wbs_element,order_number,profit_center,short_text,header_text
1000000012,2023-02-07,NB,2000,2020,008,USER009,00020,07070,5.0,L,62.00,EUR,2023-02-28,520000,20001010,,OR100012,YB30,Gear oil ISO VG 220,Lubricants monthly
1000000013,2023-02-09,NB,1000,1010,001,USER001,00010,01010,15.0,PC,8.50,EUR,2023-03-01,400000,10001010,,OR100013,YB10,Hanging file folder A4,Office supplies Feb
1000000014,2023-02-10,NB,3000,3010,005,USER006,00010,04050,1.0,PC,28000.00,EUR,2023-05-01,480000,,E-2023-0014,,YB40,Conveyor belt motor 5.5kW,Capex Q1 Plant 3010
1000000015,2023-02-13,NB,1000,1020,002,USER010,00010,02030,5.0,PC,1800.00,EUR,2023-03-15,470000,10002020,,OR100015,YB20,IP desk phone Cisco 8851,Telephony upgrade
1000000016,2023-02-15,ZNB,2000,2010,010,USER003,00010,05070,200.0,M,3.20,EUR,2023-03-15,510000,,E-2023-0015,,YB30,Electrical cable 3x2.5mm NYY-J,Cable stock replenishment
1000000016,2023-02-15,ZNB,2000,2010,010,USER003,00020,05070,100.0,M,1.80,EUR,2023-03-15,510000,,E-2023-0015,,YB30,Electrical cable 2x1.5mm NYM-J,Cable stock replenishment
1000000017,2023-02-17,NB,1000,1010,003,USER005,00010,03050,100.0,PC,4.20,EUR,2023-03-10,420000,10003030,,OR100017,YB10,Disposable face mask FFP2,Safety stock
1000000018,2023-02-20,NB,4000,4010,012,USER011,00010,08080,1.0,PC,75000.00,EUR,2023-06-30,490000,,E-2023-0016,,YB50,CNC milling machine DMG Mori,Capital investment 2023
1000000019,2023-02-22,NB,1000,1010,001,USER002,00010,01010,8.0,PC,12.00,EUR,2023-03-15,400000,10001010,,OR100019,YB10,Notebook A4 hardcover,Office supplies Feb
1000000020,2023-02-24,NB,1000,1010,002,USER004,00010,02020,1.0,PC,0.01,EUR,2023-03-01,470000,10002020,,OR100020,YB20,USB hub 4-port,ANOMALY - price too low
1000000021,2023-02-27,NB,2000,2020,009,USER012,00010,09090,50.0,KG,32.00,EUR,2023-03-31,530000,20002020,,OR100021,YB30,Welding wire SG2 1.0mm,Welding consumables
1000000021,2023-02-27,NB,2000,2020,009,USER012,00020,09090,10.0,PC,18.50,EUR,2023-03-31,530000,20002020,,OR100021,YB30,Welding electrode E7018 5kg,Welding consumables
1000000022,2023-03-01,NB,1000,1010,001,USER001,00010,01010,25.0,EA,6.80,EUR,2023-03-20,400000,10001010,,OR100022,YB10,Envelope C4 white box,Mailing supplies
1000000023,2023-03-03,NB,3000,3020,006,USER013,00010,04060,2.0,PC,3400.00,EUR,2023-04-15,480000,30001010,,OR100023,YB40,Pallet truck manual 2500kg,Warehouse equipment
1000000024,2023-03-06,NB,1000,1030,004,USER008,00010,06070,1.0,PC,12500.00,EUR,2023-04-30,460000,,E-2023-0017,,YB10,Server rack Dell PowerEdge R750,IT Infrastructure
1000000024,2023-03-06,NB,1000,1030,004,USER008,00020,06070,2.0,PC,4200.00,EUR,2023-04-30,460000,,E-2023-0017,,YB10,NAS storage 48TB,IT Infrastructure
1000000025,2023-03-08,ZNB,2000,2010,010,USER003,00010,05080,30.0,PC,65.00,EUR,2023-04-01,510000,,E-2023-0018,,YB30,Pressure gauge 0-16 bar,Instrumentation
1000000026,2023-03-10,NB,1000,1010,001,USER007,00010,01020,6.0,PC,28.00,EUR,2023-03-31,400000,10001010,,OR100026,YB10,Whiteboard marker set 4-col,Meeting room supplies
1000000027,2023-03-13,NB,1000,1020,002,USER002,00010,02020,10.0,PC,680.00,EUR,2023-04-20,470000,10002020,,OR100027,YB20,Webcam 4K Logitech BRIO,Video conferencing upgrade
1000000028,2023-03-15,NB,2000,2020,008,USER009,00010,07080,20.0,PC,135.00,EUR,2023-04-10,520000,20001010,,OR100028,YB30,V-belt SPB 2240 industrial,Belt stock
1000000029,2023-03-17,NB,4000,4010,012,USER011,00010,08090,500.0,KG,4.60,EUR,2023-04-15,490000,40001010,,OR100029,YB50,Steel plate S235JR 5mm,Raw material stock
1000000029,2023-03-17,NB,4000,4010,012,USER011,00020,08090,200.0,KG,6.80,EUR,2023-04-15,490000,40001010,,OR100029,YB50,Steel plate S355 8mm,Raw material stock
1000000030,2023-03-20,NB,1000,1010,003,USER005,00010,03030,30.0,PA,85.00,EUR,2023-04-20,420000,10003030,,OR100030,YB10,Work boots S3 size 43,Safety footwear annual
1000000030,2023-03-20,NB,1000,1010,003,USER005,00020,03030,30.0,PA,85.00,EUR,2023-04-20,420000,10003030,,OR100030,YB10,Work boots S3 size 42,Safety footwear annual
1000000031,2023-03-22,NB,3000,3010,005,USER006,00010,04010,1.0,PC,8500.00,EUR,2023-05-15,480000,,E-2023-0019,,YB40,Forklift battery 48V 500Ah,Plant maintenance capex
1000000032,2023-03-24,NB,1000,1010,001,USER001,00010,01010,100.0,EA,3.20,EUR,2023-04-10,400000,10001010,,OR100032,YB10,A4 label sheet 21 per page,Label stock
1000000033,2023-03-27,NB,1000,1030,004,USER014,00010,06060,5.0,PC,1200.00,EUR,2023-04-30,460000,10004040,,OR100033,YB10,Task chair mesh back black,Furniture Q1
1000000033,2023-03-27,NB,1000,1030,004,USER014,00020,06070,2.0,PC,680.00,EUR,2023-04-30,460000,10004040,,OR100033,YB10,Desk lamp LED adjustable,Furniture Q1
1000000034,2023-03-29,ZNB,2000,2010,010,USER003,00010,05090,10.0,PC,92.00,EUR,2023-04-30,510000,,E-2023-0020,,YB30,Pneumatic cylinder 63x100 DIN,Spare parts stock
1000000035,2023-04-03,NB,1000,1010,001,USER002,00010,01010,3000.0,EA,120.00,EUR,2023-04-10,400000,10001010,,OR100035,YB10,Office paper A4 80g/m²,ANOMALY - excessive quantity
1000000036,2023-04-05,NB,1000,1020,002,USER010,00010,02010,1.0,PC,52000.00,EUR,2023-06-01,470000,,E-2023-0021,,YB20,Enterprise software SAP add-on licence,Software licensing 2023
1000000037,2023-04-07,NB,4000,4010,012,USER011,00010,08080,1.0,PC,125000.00,EUR,2023-09-30,490000,,E-2023-0022,,YB50,Laser cutting machine Trumpf TruLaser,Capital investment Q2
1000000038,2023-04-10,NB,1000,1010,003,USER005,00010,03020,200.0,PC,2.80,EUR,2023-05-01,420000,10003030,,OR100038,YB10,Disposable ear plug pair,Safety consumables
1000000039,2023-04-12,NB,2000,2020,009,USER012,00010,09100,15.0,PC,48.00,EUR,2023-05-10,530000,20002020,,OR100039,YB30,Grinding disc 230mm P60,Abrasive stock
1000000039,2023-04-12,NB,2000,2020,009,USER012,00020,09100,10.0,PC,55.00,EUR,2023-05-10,530000,20002020,,OR100039,YB30,Cutting disc 125mm inox,Abrasive stock
1000000040,2023-04-14,NB,1000,1010,001,USER007,00010,01010,12.0,PC,45.00,EUR,2023-05-01,400000,10001010,,OR100040,YB10,Correction tape Tipp-Ex 5mm,Office consumables
1000000041,2023-04-17,NB,3000,3020,006,USER013,00010,04070,1.0,PC,6800.00,EUR,2023-06-01,480000,30001010,,OR100041,YB40,Stretch wrapper automatic,Warehouse capex
1000000042,2023-04-19,NB,1000,1010,002,USER004,00010,02020,3.0,PC,2800.00,EUR,2023-05-15,470000,10002020,,OR100042,YB20,Tablet iPad Pro 12.9 M2,Mobile devices
1000000043,2023-04-21,ZNB,2000,2010,010,USER003,00010,05050,8.0,PC,780.00,EUR,2023-05-31,510000,,E-2023-0023,,YB30,Vibration sensor IFM VS0100,Condition monitoring
1000000044,2023-04-24,NB,1000,1030,004,USER008,00010,06080,1.0,PC,22000.00,EUR,2023-06-30,460000,,E-2023-0024,,YB10,UPS system 10kVA APC,Data centre infrastructure
1000000045,2023-04-26,NB,4000,4020,013,USER015,00010,08060,2000.0,KG,1.85,EUR,2023-05-20,490000,40002020,,OR100045,YB50,Aluminium profile 40x40 T-slot,Production tooling
1000000045,2023-04-26,NB,4000,4020,013,USER015,00020,08060,500.0,PC,3.40,EUR,2023-05-20,490000,40002020,,OR100045,YB50,End cap for aluminium profile 40x40,Production tooling
1000000046,2023-04-28,NB,1000,1010,001,USER001,00010,01010,50.0,EA,8.90,EUR,2023-05-20,400000,10001010,,OR100046,YB10,Sticky notes 76x76 yellow 100pk,General stationery
1000000047,2023-05-02,NB,1000,1020,002,USER002,00010,02040,1.0,PC,18500.00,EUR,2023-07-01,470000,,E-2023-0025,,YB20,Firewall Fortinet FG-100F,Network security
1000000048,2023-05-04,NB,2000,2020,008,USER009,00010,07090,40.0,PC,28.00,EUR,2023-06-01,520000,20001010,,OR100048,YB30,Ball bearing SKF 6205-2RS,Bearing stock
1000000048,2023-05-04,NB,2000,2020,008,USER009,00020,07090,20.0,PC,42.00,EUR,2023-06-01,520000,20001010,,OR100048,YB30,Cylindrical roller bearing NJ206,Bearing stock
1000000049,2023-05-08,NB,1000,1010,003,USER005,00010,03060,5.0,PC,380.00,EUR,2023-06-15,420000,10003030,,OR100049,YB10,Chemical spill kit 25L absorbent,Environment safety
1000000050,2023-05-10,NB,3000,3010,005,USER006,00010,04020,1.0,PC,42000.00,EUR,2023-08-31,480000,,E-2023-0026,,YB40,Overhead crane 5T SWL,Plant capex H1
1000000051,2023-05-12,NB,1000,1010,001,USER014,00010,01030,20.0,PC,55.00,EUR,2023-06-10,400000,10001010,,OR100051,YB10,Toner Samsung ProXpress M4370,Printer consumables
1000000052,2023-05-15,NB,4000,4010,012,USER011,00010,08100,3000.0,PC,0.35,EUR,2023-06-01,490000,40001010,,OR100052,YB50,Hex bolt M8x20 DIN933 zinc,Fastener stock
1000000052,2023-05-15,NB,4000,4010,012,USER011,00020,08100,3000.0,PC,0.28,EUR,2023-06-01,490000,40001010,,OR100052,YB50,Hex nut M8 DIN934 zinc,Fastener stock
1000000052,2023-05-15,NB,4000,4010,012,USER011,00030,08100,2000.0,PC,0.18,EUR,2023-06-01,490000,40001010,,OR100052,YB50,Washer M8 DIN125 zinc,Fastener stock
1000000053,2023-05-17,NB,1000,1010,001,USER002,00010,01010,8.0,PC,14.50,EUR,2023-06-05,400000,10001010,,OR100053,YB10,Highlighter pen set 5 colours,Office supplies May
1000000054,2023-05-19,ZNB,2000,2010,010,USER003,00010,05100,2.0,PC,5500.00,EUR,2023-06-30,510000,,E-2023-0027,,YB30,Flow meter electromagnetic DN50,Process instrumentation
1000000055,2023-05-22,NB,1000,1030,004,USER008,00010,06090,6.0,PC,3200.00,EUR,2023-06-30,460000,10004040,,OR100055,YB10,IP camera 4K PTZ outdoor,Security upgrade
1000000055,2023-05-22,NB,1000,1030,004,USER008,00020,06090,1.0,PC,4800.00,EUR,2023-06-30,460000,10004040,,OR100055,YB10,NVR recorder 16ch 4K,Security upgrade
1000000056,2023-05-24,NB,4000,4020,013,USER015,00010,08050,500.0,M,2.20,EUR,2023-06-15,490000,40002020,,OR100056,YB50,Round bar steel C45 dia16,Production material
1000000057,2023-05-26,NB,1000,1010,001,USER001,00010,01010,200.0,EA,0.80,EUR,2023-06-10,400000,10001010,,OR100057,YB10,Clipboard A4 hardback,Stationery replenishment
1000000058,2023-05-29,NB,3000,3020,006,USER013,00010,04080,3.0,PC,1850.00,EUR,2023-07-01,480000,30001010,,OR100058,YB40,Barcode scanner Zebra DS2208,Warehouse WMS project
1000000058,2023-05-29,NB,3000,3020,006,USER013,00020,04080,1.0,PC,4200.00,EUR,2023-07-01,480000,30001010,,OR100058,YB40,Mobile printer Zebra ZQ520,Warehouse WMS project
1000000059,2023-05-31,NB,1000,1010,002,USER004,00010,02020,1.0,PC,2450.00,EUR,2023-06-30,470000,10002020,,OR100059,YB20,Docking station Lenovo USB-C,IT accessories
1000000060,2023-06-02,NB,2000,2020,009,USER012,00010,09110,10.0,PC,96.00,EUR,2023-07-01,530000,20002020,,OR100060,YB30,Cutting insert CNMG 120408 carbide,CNC tooling
1000000060,2023-06-02,NB,2000,2020,009,USER012,00020,09110,5.0,PC,185.00,EUR,2023-07-01,530000,20002020,,OR100060,YB30,Turning tool holder PCLNR 2525,CNC tooling
1000000061,2023-06-05,NB,1000,1010,001,USER007,00010,01010,30.0,PC,7.20,EUR,2023-06-25,400000,10001010,,OR100061,YB10,Tape dispenser with 2 refill rolls,Office supplies Jun
1000000062,2023-06-07,NB,1000,1010,003,USER005,00010,03070,1.0,PC,1250.00,EUR,2023-07-15,420000,10003030,,OR100062,YB10,AED defibrillator Philips HeartStart,Safety equipment
1000000063,2023-06-09,NB,4000,4010,012,USER011,00010,08020,1.0,PC,350000.00,EUR,2023-12-31,490000,,E-2023-0028,,YB50,Injection moulding machine 500T,ANOMALY - wrong GL for capex value
1000000064,2023-06-12,NB,1000,1020,002,USER010,00010,02050,50.0,LIC,1200.00,EUR,2023-07-01,470000,10002020,,OR100064,YB20,Microsoft 365 E3 annual licence,Software renewal
1000000065,2023-06-14,ZNB,2000,2010,010,USER003,00010,05050,1.0,PC,450.00,EUR,2023-07-10,510000,,E-2023-0029,,YB30,Temperature transmitter PT100,Process instrument replacement
1000000066,2023-06-16,NB,1000,1010,001,USER002,00010,01010,40.0,EA,9.50,EUR,2023-07-05,400000,10001010,,OR100066,YB10,Lever arch file A4 blue,Filing supplies
1000000067,2023-06-19,NB,3000,3010,005,USER006,00010,04030,1.0,PC,55000.00,EUR,2023-10-31,480000,,E-2023-0030,,YB40,High bay LED luminaire 200W,Energy efficiency capex
1000000067,2023-06-19,NB,3000,3010,005,USER006,00020,04030,500.0,M,18.50,EUR,2023-10-31,480000,,E-2023-0030,,YB40,LED driver meanwell HLG-240H,Energy efficiency capex
1000000068,2023-06-21,NB,4000,4020,013,USER015,00010,08110,100.0,PC,22.00,EUR,2023-07-10,490000,40002020,,OR100068,YB50,O-ring NBR 50x3 DIN3771,Seals stock
1000000068,2023-06-21,NB,4000,4020,013,USER015,00020,08110,100.0,PC,18.00,EUR,2023-07-10,490000,40002020,,OR100068,YB50,O-ring EPDM 30x3 DIN3771,Seals stock
1000000069,2023-06-23,NB,1000,1030,004,USER008,00010,06100,1.0,PC,68000.00,EUR,2023-09-30,460000,,E-2023-0031,,YB10,Telephone PABX system 100 ext,IT Infrastructure H2
1000000070,2023-06-26,NB,1000,1010,001,USER001,00010,01010,60.0,EA,6.30,EUR,2023-07-15,400000,10001010,,OR100070,YB10,Post-it notes 654 yellow 100pk,Office consumables Jun
1000000071,2023-06-28,NB,2000,2020,008,USER009,00010,07100,1.0,PC,12000.00,EUR,2023-08-15,520000,,E-2023-0032,,YB30,Air compressor screw 22kW Atlas Copco,Utility infrastructure
1000000072,2023-06-30,NB,1000,1010,002,USER004,00010,02060,5.0,PC,890.00,EUR,2023-07-31,470000,10002020,,OR100072,YB20,Rugged handheld scanner Honeywell CT40,Field service devices
1000000072,2023-06-30,NB,1000,1010,002,USER004,00020,02060,5.0,PC,125.00,EUR,2023-07-31,470000,10002020,,OR100072,YB20,Protective case for CT40,Field service devices
1000000073,2023-07-03,NB,1000,1010,001,USER002,00010,01010,20.0,EA,11.00,EUR,2023-07-25,400000,10001010,,OR100073,YB10,Correction fluid Tipp-Ex rapid,Office consumables Jul
1000000074,2023-07-05,NB,4000,4010,012,USER011,00010,08090,1000.0,KG,5.10,EUR,2023-08-01,490000,40001010,,OR100074,YB50,Stainless steel sheet 1.4301 1mm,Material stock
1000000074,2023-07-05,NB,4000,4010,012,USER011,00020,08090,300.0,KG,7.80,EUR,2023-08-01,490000,40001010,,OR100074,YB50,Stainless steel pipe 48.3x2mm,Material stock
1000000075,2023-07-07,NB,2000,2020,009,USER012,00010,09090,80.0,KG,30.50,EUR,2023-08-05,530000,20002020,,OR100075,YB30,Welding wire aluminium Al99 1.2mm,Welding consumables Jul
1000000076,2023-07-10,NB,1000,1010,001,USER007,00010,01020,4.0,PC,320.00,EUR,2023-07-31,400000,10001010,,OR100076,YB10,Label printer Dymo LabelWriter 550,Admin equipment
1000000077,2023-07-12,ZNB,2000,2010,010,USER003,00010,05050,3.0,PC,1100.00,EUR,2023-08-15,510000,,E-2023-0033,,YB30,Level sensor ultrasonic 4-20mA,Process control
1000000078,2023-07-14,NB,3000,3020,006,USER013,00010,04060,1.0,PC,9200.00,EUR,2023-08-31,480000,30001010,,OR100078,YB40,Reach truck electric 6m height,Warehouse equipment Q3
1000000079,2023-07-17,NB,1000,1030,004,USER014,00010,06060,2.0,PC,3800.00,EUR,2023-08-31,460000,10004040,,OR100079,YB10,Sit-stand desk electric 160x80,Ergonomic furniture H2
1000000080,2023-07-19,NB,1000,1010,001,USER001,00010,01010,1000.0,EA,999.99,USD,2023-07-25,999999,99999999,,,ZZ99,xxxxxxxxxxx,ANOMALY - invalid G/L cost center profit center
